flow,year,value_dotnet,value_unit_dotnet,is_urban,source_type,greet_dotnet_id,pygreet_id,name,value_unit_pygreet,value_pygreet,difference,above_threshold
Fossil Fuel,2025,18799161.42421768,J,False,pathway,272114635,14e217c8-ced5-4037-a3cb-af4c8bac7873,Ferric Chloride Production Pathway,J,18799161.423606787,3.2495690409164043e-09,False
Coal Fuel,2025,8518022.353523,J,False,pathway,272114635,14e217c8-ced5-4037-a3cb-af4c8bac7873,Ferric Chloride Production Pathway,J,8518022.352981765,6.353991178758011e-09,False
Natural Gas Fuel,2025,9995795.350143233,J,False,pathway,272114635,14e217c8-ced5-4037-a3cb-af4c8bac7873,Ferric Chloride Production Pathway,J,9995795.350064138,7.912863443708857e-10,False
Petroleum Fuel,2025,285343.7205514752,J,False,pathway,272114635,14e217c8-ced5-4037-a3cb-af4c8bac7873,Ferric Chloride Production Pathway,J,285343.7205608784,3.295399237016219e-09,False
Water,2025,0.00498735038610023,m^3,False,pathway,272114635,14e217c8-ced5-4037-a3cb-af4c8bac7873,Ferric Chloride Production Pathway,m^3,0.00498735038603266,1.3548292428546579e-09,False
VOC,2025,0.000995556989467381,kg,False,pathway,272114635,14e217c8-ced5-4037-a3cb-af4c8bac7873,Ferric Chloride Production Pathway,kg,0.0009955569893708585,9.69531633741712e-09,False
CO,2025,0.006883395588280519,kg,False,pathway,272114635,14e217c8-ced5-4037-a3cb-af4c8bac7873,Ferric Chloride Production Pathway,kg,0.006883395587593061,9.987204158885265e-09,False
NOx,2025,0.00142697797576132,kg,False,pathway,272114635,14e217c8-ced5-4037-a3cb-af4c8bac7873,Ferric Chloride Production Pathway,kg,0.0014269779756963619,4.552139045166565e-09,False
PM10,2025,0.0005504540642567281,kg,False,pathway,272114635,14e217c8-ced5-4037-a3cb-af4c8bac7873,Ferric Chloride Production Pathway,kg,0.0005504540642101415,8.463312834571595e-09,False
PM2.5,2025,0.000274965247879572,kg,False,pathway,272114635,14e217c8-ced5-4037-a3cb-af4c8bac7873,Ferric Chloride Production Pathway,kg,0.00027496524785755735,8.006346646341077e-09,False
SOx,2025,0.0034923523543483703,kg,False,pathway,272114635,14e217c8-ced5-4037-a3cb-af4c8bac7873,Ferric Chloride Production Pathway,kg,0.003492352354062607,8.18254109572298e-09,False
BC,2025,6.15975481345182e-06,kg,False,pathway,272114635,14e217c8-ced5-4037-a3cb-af4c8bac7873,Ferric Chloride Production Pathway,kg,6.159754813251836e-06,3.246630505649501e-09,False
