greet_dotnet_name,greet_dotnet_id
Pathway Distributed - U.S. Mix,ID=5555
Pathway NA NG from Shale and Conventional Recovery as Stationary Fuels,ID=1
Mix Crude Oil for Use in U.S. Refineries,ID=0
Pathway Gasoline Blendstock from Crude Oil for Use in US Refineries,ID=37
Pathway Reformulated Gasoline (E10) Blending and Transportation to Refueling Station,ID=57
Pathway Residual Oil (Petroleum) from Crude Oil,ID=60
Pathway Conventional Diesel from Crude Oil for US Refineries,ID=40
Pathway Low-Sulfur Diesel from Crude Oil,ID=61
Pathway Ethanol Production from Corn,ID=51207813
Pathway Refueling Stations: Compressed G.H2 from Natural Gas (w/o CO2 sequestration),ID=45
Pathway Crude Oil for Use in CA Refineries,ID=340
Pathway Gasoline Blendstock from Crude Oil for Use in CA Refineries,ID=58
Pathway Liquefied Petroleum Gas from Crude Oil,ID=92
Pathway Crude Naphtha from Crude Oil,ID=62
Pathway Crude Naphtha to Oil Sands,ID=57505895
Pathway Pet Coke from Crude for Use in U.S. Refineries,ID=30102894
Pathway Gasoline Blendstock from Crude Oil for Use in Chile,ID=117804794
Pathway Liquefied Petroleum Gas from Crude Oil for use in Chile,ID=117804321
Pathway Residual Oil (Petroleum) from Crude Oil in Chile,ID=83413299
Pathway Conventional Diesel Chile Refineries,ID=82832462
Pathway Unfinished Oil from Crude Oil for US CG refineries,ID=57498534
Pathway Heavy Butane from Crude Oil for use in US Refineries ,ID=57426731
Pathway Heavy Blendstock from Crude Oil for Use in US Refineries ,ID=57426609
Pathway Conventional Jet Fuel from Crude Oil,ID=150
Pathway Ultra Low-Sulfur Jet Fuel from Crude Oil,ID=4184480
Pathway Low Octane Gasoline-Like Fuel from Crude Oil,ID=150469837
Pathway Soybean Meal from Soybeans (for other uses) with soy oil mass allocation,ID=84119146
Pathway Distributed - ASCC Mix,ID=59745155
Pathway Distributed - FRCC Mix,ID=59745212
Pathway Distributed - HICC Mix,ID=59745245
Pathway Distributed - MRO Mix,ID=59745265
Pathway Distributed - NPCC Mix,ID=59745284
Pathway Distributed - RFC Mix,ID=59745303
Pathway Distributed - SERC Mix,ID=59745323
Pathway Distributed - SPP Mix,ID=59745338
Pathway Distributed - TRE Mix,ID=59745355
Pathway Distributed - WECC Mix,ID=59745377
Pathway Ethanol Production from Corn Stover,ID=8711
Pathway Ethanol Production from Corn and Corn stover (combined gallon),ID=54466196
Pathway Ethanol Production from Miscanthus,ID=140
Pathway Ethanol Production from Poplar,ID=24248753
Pathway Ethanol Production from Sorghum,ID=20109854
Pathway Bio-Ethylene glycol process pathway,ID=177166689
Pathway Terephthalic acid (TPA) production pathway,ID=177240691
Pathway Ethanol Production from Switchgrass,ID=8710
Pathway Ethanol Production from Willow,ID=31936639
Pathway Ethanol Production from Sugarcane,ID=20282
Pathway Biodiesel Production from Soybeans,ID=2020
Pathway Carinata Oil-based Sustainable Aviation Fuel (SAF) through Hydroprocessed Esters and Fatty Acids (HEFA),ID=181477345
Pathway Camelina Oil-based Sustainable Aviation Fuel (SAF) through Hydroprocessed Esters and Fatty Acids (HEFA),ID=21215991
Pathway Lithium cobalt oxide (hydrothermal route),ID=56734997
Pathway Distributed - China Mix,ID=86282179
Pathway Refined CoCl2 Production - Mass Allocation,ID=182110899
Pathway Refined CoSO4 Production - Mass Allocation,ID=182110788
Pathway Refined Metallic Cobalt Production - Mass Allocation,ID=182109769
Pathway Refined Co3O4 Production - Mass Allocation,ID=182111003
Pathway Refined CoO Production - Mass Allocation,ID=182111102
Pathway Production of LiNCA,ID=119805160
Pathway Production of NMC(811),ID=151703211
Pathway Production of NMC(111),ID=151698950
Pathway Production of lithium cobalt oxide (solid state),ID=56731774
Pathway Production of NMC(442),ID=56721731
Pathway Production of NMC(622),ID=151700481
Pathway Production of LMR-NMC,ID=56731166
Pathway Production of Cobalt Nitrate,ID=54917594
Pathway Compressed G.H2 as Byproduct from NGL Cracker plants - Substitution with NG,ID=182683943
Mix Ethylene U.S. average production,ID=246076117
Pathway Ethylene Carbonate Production (Battery Materials),ID=30538192
Pathway Dimethyl Carbonate Production (Battery Materials),ID=30538210
Pathway Lithium iron phosphate (solid state),ID=56725790
Pathway Combined Algae Processing (CAP) for Renewable Diesel III,ID=183737736
Pathway Algae Hydrothermal liquefaction (HTL) for Renewable Diesel III,ID=183832136
Pathway Polylactic acid (PLA) pathway,ID=206541755
Pathway Bio-derived PET production process  via Bio-TPA and Bio-EG,ID=205681114
Pathway Distributed - Japan Electricity mix,ID=209584424
Pathway Distributed - Korean Electricity mix,ID=209583815
Pathway Distributed - European Electricity mix,ID=209583934
Pathway Distributed - Coal Electricity mix,ID=209584009
Pathway Distributed - Alumina Reduction Mix (Aluminum Smelting),ID=283359450
Pathway Distributed - Hydro Electricity mix,ID=209584044
Pathway Distributed - Wind Electricity mix,ID=209584089
Pathway Propane from Crude Oil,ID=210949651
Pathway Low-Sulfur Diesel Production California,ID=610
Pathway CA Reformulated Gasoline (E10) to Refueling Station,ID=54387629
Pathway Asphalt from Crude Oil for use in US Refineries ,ID=211464119
Pathway Propylene from Crude Oil for use in US Refineries ,ID=211481610
Pathway Central Plants: Compressed G.H2 production from Natural Gas,ID=28
Mix Dimethyl Ether Production,ID=4200
Mix Combined Upstream - Methanol,ID=2
Pathway Compressed G.H2 Combined for Medium- and Heavy-Duty Vehicles (MHDV),ID=150072970
Pathway Compressed G.H2 Combined for Light-Duty Vehicles,ID=212761042
Pathway Central Plants: L.H2 production from Natural Gas,ID=47
Pathway Hide: Refueling Stations: L.H2 from NA Natural Gas (w/o CO2 sequestration),ID=53
Pathway Liquid H2 Combined,ID=212760169
Pathway Central Plants: Compressed G.H2 production from PEM Electrolysis - Solar (or Wind),ID=31
Pathway Central Plants: Compressed G.H2 production from Nuclear Energy (Thermo-Chemical Cracking of Water),ID=32
Pathway Central Plants: Compressed G.H2 production from Electrolysis with HTGR ,ID=118505658
Pathway Central Plants: Compressed G.H2 production from Coal,ID=43
Pathway Production of lithium iron phosphate (hydrothermal),ID=56725561
Pathway Production of Nickel Sulfate from Class I Nickel,ID=56320368
Pathway Average Lithium Hydroxide (LiOH),ID=213450837
Pathway Integrated Corn/Stover Ethanol (Associated with Corn Ethanol),ID=82545215
Pathway Integrated Corn/Stover Ethanol (Associated with Corn Stover Ethanol),ID=82549180
Pathway Cement Production (US National Average),ID=214998162
Pathway Concrete Production,ID=29422449
Pathway Residual Oil (Petroleum) from Crude Oil for Use as a Marine Fuel (Heavy Fuel Oil [HFO] 2.7%S),ID=57239968
Pathway Residual Oil (Petroleum) from Crude Oil for Use as a Marine Fuel (Heavy Fuel Oil [HFO] 0.5%%S),ID=215265709
Pathway Residual Oil (Petroleum) from Crude Oil for Use as a Marine Fuel (Heavy Fuel Oil [HFO] 0.1%%S),ID=215273415
Pathway MDO (1.92% S) production from HFO (2.7% S) and MGO (1.0% S),ID=215275508
Pathway MDO (0.5% S) production from HFO (0.5% S) and MGO (0.5% S),ID=215275802
Pathway MDO (0.1% S) production from HFO (0.1% S) and MGO (0.1% S),ID=215276174
Pathway Residual Oil (Petroleum) from Crude Oil for Use as a Marine Fuel (Marine Gas Oil [MGO] 1.0%%S),ID=215273762
Pathway Residual Oil (Petroleum) from Crude Oil for Use as a Marine Fuel (MGO 0.5%S),ID=215274365
